random_seed,fold,threshold,roc_auc,max_depth,n_estimators,learning_rate,P__timing__npauses,P__timing__nsyll,P__timing__pause_duration_mean,P__timing__pause_duration_std,P__timing__speechrate,P__timing__syllable_duration_mean,P__timing__syllable_duration_std
3,0,[None],,1,114,0.8851704347905643,1,1,1,1,1,1,1
3,1,[None],,1,433,0.598285840350938,1,1,1,1,1,1,1
3,2,[None],,1,16,0.6443439547367381,1,1,1,1,1,1,1
9,0,[None],,1,16,0.5697207061263747,1,1,1,1,1,1,1
9,1,[None],,2,464,0.8094386157881666,1,1,1,1,1,1,1
9,2,[None],,1,454,0.2595212016184169,1,1,1,1,1,1,1
27,0,[None],,1,114,0.39619537152068995,1,1,1,1,1,1,1
27,1,[None],,1,454,0.2595212016184169,1,1,1,1,1,1,1
27,2,[None],,1,112,0.001,1,1,1,1,1,1,1
81,0,[None],,4,58,0.8632403224497179,1,1,1,1,1,1,1
81,1,[None],,2,401,0.07547609303609105,1,1,1,1,1,1,1
81,2,[None],,1,345,0.4150513484610965,1,1,1,1,1,1,1
243,0,[None],,7,469,0.8949325230772212,1,1,1,1,1,1,1
243,1,[None],,6,435,0.8038684048222153,1,1,1,1,1,1,1
243,2,[None],,3,206,0.42118002638882335,1,1,1,1,1,1,1
729,0,[None],,1,15,0.6586400167158294,1,1,1,1,1,1,1
729,1,[None],,4,146,0.612241041827657,1,1,1,1,1,1,1
729,2,[None],,3,49,0.6845487934856448,1,1,1,1,1,1,1
2187,0,[None],,4,485,0.9624848476471691,1,1,1,1,1,1,1
2187,1,[None],,5,26,0.07565012381639843,1,1,1,1,1,1,1
2187,2,[None],,1,15,0.8808170702055589,1,1,1,1,1,1,1
6561,0,[None],,2,16,0.3986281397009662,1,1,1,1,1,1,1
6561,1,[None],,1,114,0.42768068083763006,1,1,1,1,1,1,1
6561,2,[None],,1,328,0.9028091403563189,1,1,1,1,1,1,1
19683,0,[None],,5,10,0.9737386045033309,1,1,1,1,1,1,1
19683,1,[None],,5,92,0.9698458888934667,1,1,1,1,1,1,1
19683,2,[None],,4,485,0.9624848476471691,1,1,1,1,1,1,1
59049,0,[None],,1,16,0.6367740008525166,1,1,1,1,1,1,1
59049,1,[None],,1,433,0.43210384132185975,1,1,1,1,1,1,1
59049,2,[None],,1,17,0.001,1,1,1,1,1,1,1
